# Error in the maximum norm for problem 2
# N increases by sqrt(2) each step
#
# EPS= 1.0E-08
#
#tau                    uniform                Shishkin               Bakhvalov
 0.50000000000000E+00   0.34336352777391E+00   0.36250881269142E+00   0.36251141958404E+00   
 0.25000000000000E+00   0.98585956686326E-01   0.10261571879375E+00   0.10262526389399E+00   
 0.12500000000000E+00   0.25741999642167E-01   0.26550653762859E-01   0.26556745337672E-01   
 0.62500000000000E-01   0.64296737510461E-02   0.66964269947854E-02   0.66991798613634E-02   
 0.31250000000000E-01   0.16336132912297E-02   0.16777753084014E-02   0.16791882222325E-02   
 0.15625000000000E-01   0.47451778753011E-03   0.41964692383495E-03   0.42035049058132E-03   
 0.78125000000000E-02   0.16661173278763E-02   0.10491141312983E-03   0.10526368032776E-03   
 0.39062500000000E-02   0.33378893802883E-02   0.26222200924176E-04   0.26397204534979E-04   
 0.19531250000000E-02   0.56142882528053E-02   0.65531214352605E-05   0.66395766509423E-05   
 0.97656250000000E-03   0.76622762409284E-02   0.19171655984364E-05   0.16863677760142E-05   
