# Error in the maximum norm for problem 2
# N increases by sqrt(2) each step
#
# EPS= 1.0E-06
#
#tau                    uniform                Shishkin               Bakhvalov
 0.50000000000000E+00   0.33826434126720E+00   0.34786737148290E+00   0.34794197553053E+00   
 0.25000000000000E+00   0.94060057565423E-01   0.98220853141888E-01   0.98231452072525E-01   
 0.12500000000000E+00   0.24746708516462E-01   0.25392159137623E-01   0.25400299568805E-01   
 0.62500000000000E-01   0.62228208221567E-02   0.64019133525694E-02   0.64065319428767E-02   
 0.31250000000000E-01   0.64437690996735E-02   0.16033874749738E-02   0.16057519324076E-02   
 0.15625000000000E-01   0.57713202686295E-02   0.40076133627222E-03   0.40197795108145E-03   
 0.78125000000000E-02   0.39179443177348E-02   0.10005557863964E-03   0.10066848257263E-03   
 0.39062500000000E-02   0.22447831003552E-02   0.24949680090562E-04   0.25248142204663E-04   
 0.19531250000000E-02   0.11314932008181E-02   0.62129899310143E-05   0.63521745545463E-05   
 0.97656250000000E-03   0.59541674339361E-03   0.19054309371708E-05   0.16080829554759E-05   
