1.0E+00
  5.00000000000000E-01  2.12255237260401E-02
  2.50000000000000E-01  3.91855160399594E-03
  1.25000000000000E-01  8.76149321180989E-04
  6.25000000000000E-02  2.16852327022212E-04
  3.12500000000000E-02  5.40671727963835E-05
  1.56250000000000E-02  1.35035970237942E-05
  7.81250000000000E-03  3.37302065023313E-06
  3.90625000000000E-03  8.42034392463732E-07
  1.95312500000000E-03  2.09916395622205E-07
 
1.0E-02
  5.00000000000000E-01  1.68805290647005E-01
  2.50000000000000E-01  3.82188640369078E-02
  1.25000000000000E-01  9.55351098780276E-03
  6.25000000000000E-02  2.40515412265906E-03
  3.12500000000000E-02  6.00695476166724E-04
  1.56250000000000E-02  1.50357528117311E-04
  7.81250000000000E-03  3.75988521761035E-05
  3.90625000000000E-03  9.40578169245944E-06
  1.95312500000000E-03  2.35457650903555E-06
 
1.0E-04
  5.00000000000000E-01  1.71681469282041E-01
  2.50000000000000E-01  3.89145607483921E-02
  1.25000000000000E-01  9.71275283830794E-03
  6.25000000000000E-02  2.44720869260174E-03
  3.12500000000000E-02  6.10968519492439E-04
  1.56250000000000E-02  1.52918205326346E-04
  7.81250000000000E-03  4.17695473418147E-05
  3.90625000000000E-03  1.81913700473022E-05
  1.95312500000000E-03  9.21263305353492E-06
 
1.0E-06
  5.00000000000000E-01  1.71681501754113E-01
  2.50000000000000E-01  3.89146135668718E-02
  1.25000000000000E-01  9.71279092940839E-03
  6.25000000000000E-02  2.44725138049612E-03
  3.12500000000000E-02  6.10999184935610E-04
  1.56250000000000E-02  1.52934599669415E-04
  7.81250000000000E-03  4.17695473418147E-05
  3.90625000000000E-03  1.81913700473022E-05
  1.95312500000000E-03  9.21263305353492E-06
 
1.0E-08
  5.00000000000000E-01  1.71681469584326E-01
  2.50000000000000E-01  3.89145612392368E-02
  1.25000000000000E-01  9.71275320543861E-03
  6.25000000000000E-02  2.44720885643455E-03
  3.12500000000000E-02  6.10968489342913E-04
  1.56250000000000E-02  1.52918466043603E-04
  7.81250000000000E-03  4.17695473418147E-05
  3.90625000000000E-03  1.81913700473022E-05
  1.95312500000000E-03  9.21263305353492E-06
 
1.0E-10
  5.00000000000000E-01  1.71681469285041E-01
  2.50000000000000E-01  3.89145607532589E-02
  1.25000000000000E-01  9.71275284194856E-03
  6.25000000000000E-02  2.44720839269950E-03
  3.12500000000000E-02  6.10968019763247E-04
  1.56250000000000E-02  1.52918016792488E-04
  7.81250000000000E-03  4.17695473418147E-05
  3.90625000000000E-03  1.81913700473022E-05
  1.95312500000000E-03  9.21263305353492E-06
 
1.0E-12
  5.00000000000000E-01  1.71681469282071E-01
  2.50000000000000E-01  3.89145607484407E-02
  1.25000000000000E-01  9.71275283834431E-03
  6.25000000000000E-02  2.44720838811555E-03
  3.12500000000000E-02  6.10968015135554E-04
  1.56250000000000E-02  1.52918012379895E-04
  7.81250000000000E-03  4.17695473418147E-05
  3.90625000000000E-03  1.81913700473022E-05
