# Error in the maximum norm for problem 2
# N increases by sqrt(2) each step
#
# EPS= 1.0E-04
#
#tau                    uniform                Shishkin               Bakhvalov
 0.50000000000000E+00   0.26592934298233E+00   0.26729522090469E+00   0.26763035235230E+00   
 0.25000000000000E+00   0.74360059718625E-01   0.74665527098975E-01   0.74740951328897E-01   
 0.12500000000000E+00   0.19096777057250E-01   0.19224707608553E-01   0.19263614120273E-01   
 0.62500000000000E-01   0.47762844485883E-02   0.48349752794643E-02   0.48547053406463E-02   
 0.31250000000000E-01   0.11807630706898E-02   0.12058786966252E-02   0.12166486572993E-02   
 0.15625000000000E-01   0.28857373696394E-03   0.29897254245438E-03   0.30461246684236E-03   
 0.78125000000000E-02   0.69574571124940E-04   0.73441813713143E-04   0.76312614970698E-04   
 0.39062500000000E-02   0.16540411533021E-04   0.17784122764181E-04   0.19153808116564E-04   
 0.19531250000000E-02   0.92358283383997E-05   0.42314588628089E-05   0.48260401642540E-05   
 0.97656250000000E-03   0.51533346544845E-05   0.17920363913412E-05   0.12252855035241E-05   
