# Error in the maximum norm for problem 2
# N increases by sqrt(2) each step
#
# EPS= 1.0E-12
#
#tau                    uniform                Shishkin               Bakhvalov
 0.50000000000000E+00   0.34341494854084E+00   0.36484448888548E+00   0.36483638004287E+00   
 0.25000000000000E+00   0.98653661185860E-01   0.10332869027366E+00   0.10332570137547E+00   
 0.12500000000000E+00   0.25859500362769E-01   0.26740471716102E-01   0.26743358746420E-01   
 0.62500000000000E-01   0.65858480504498E-02   0.67452671444650E-02   0.67464868857104E-02   
 0.31250000000000E-01   0.16616664635035E-02   0.16903881588044E-02   0.16913770499102E-02   
 0.15625000000000E-01   0.41763210922360E-03   0.42298566652080E-03   0.42349218502793E-03   
 0.78125000000000E-02   0.10463174679175E-03   0.10583773488402E-03   0.10630711868596E-03   
 0.39062500000000E-02   0.26112329594867E-04   0.26498708249505E-04   0.26733959460267E-04   
 0.19531250000000E-02   0.65509710673729E-05   0.66439243868368E-05   0.67552861230534E-05   
 0.97656250000000E-03   0.16417888697609E-05   0.19184593886924E-05   0.17238656625514E-05   
