# Error in the maximum norm for problem 3
# N increases by sqrt(2) each step
#
# EPS= 1.0E-06
#
#tau                    uniform                Shishkin               Bakhvalov
 0.50000000000000E+00   0.17425850799242E+00   0.17168150175411E+00   0.17168163602873E+00   
 0.25000000000000E+00   0.45578940473724E-01   0.38914613566872E-01   0.38914612749238E-01   
 0.12500000000000E+00   0.21595043480060E-01   0.97127909294084E-02   0.97127558007877E-02   
 0.62500000000000E-01   0.20441823911514E-01   0.24472513804961E-02   0.24472147277015E-02   
 0.31250000000000E-01   0.18555439337635E-01   0.61099918493561E-03   0.61098463421702E-03   
 0.15625000000000E-01   0.13677838012058E-01   0.15293459966941E-03   0.15298578621873E-03   
 0.78125000000000E-02   0.83569841662619E-02   0.41769547341815E-04   0.38238233590685E-04   
 0.39062500000000E-02   0.43621975494118E-02   0.18191370047302E-04   0.95743845763602E-05   
 0.19531250000000E-02   0.22568537562907E-02   0.92126330535349E-05   0.24092458161524E-05   
 0.97656250000000E-03   0.11392889897998E-02   0.48920443666876E-05   0.60983936334879E-06   
