# Error in the maximum norm for problem 3
# N increases by sqrt(2) each step
#
# EPS= 1.0E-08
#
#tau                    uniform                Shishkin               Bakhvalov
 0.50000000000000E+00   0.17170903554449E+00   0.17168146958433E+00   0.17168146976803E+00   
 0.25000000000000E+00   0.38994929721709E-01   0.38914561239237E-01   0.38914560797418E-01   
 0.12500000000000E+00   0.98255075273304E-02   0.97127532054386E-02   0.97127535258899E-02   
 0.62500000000000E-01   0.27403999743077E-02   0.24472088564345E-02   0.24472086908854E-02   
 0.31250000000000E-01   0.13984576709038E-02   0.61096848934291E-03   0.61096812296021E-03   
 0.15625000000000E-01   0.22741170325532E-02   0.15291846604360E-03   0.15291817180904E-03   
 0.78125000000000E-02   0.44880486960209E-02   0.41769547341815E-04   0.38226339240838E-04   
 0.39062500000000E-02   0.84956224521317E-02   0.18191370047302E-04   0.95564296874995E-05   
 0.19531250000000E-02   0.14094558019336E-01   0.92126330535349E-05   0.23895604868621E-05   
 0.97656250000000E-03   0.18959801891580E-01   0.48920443666876E-05   0.59869792948305E-06   
