# Error in the maximum norm for problem 3
# N increases by sqrt(2) each step
#
# EPS= 1.0E-10
#
#tau                    uniform                Shishkin               Bakhvalov
 0.50000000000000E+00   0.17168174496283E+00   0.17168146928504E+00   0.17168146928617E+00   
 0.25000000000000E+00   0.38915364530204E-01   0.38914560753259E-01   0.38914560748687E-01   
 0.12500000000000E+00   0.97138805744975E-02   0.97127528419486E-02   0.97127528432337E-02   
 0.62500000000000E-01   0.24501414355266E-02   0.24472083926995E-02   0.24472083897661E-02   
 0.31250000000000E-01   0.61687324005080E-03   0.61096801976325E-03   0.61096801541360E-03   
 0.15625000000000E-01   0.16452948879263E-03   0.15291801679249E-03   0.15291801267288E-03   
 0.78125000000000E-02   0.67131072950179E-04   0.41769547341815E-04   0.38226358294058E-04   
 0.39062500000000E-02   0.92032988270197E-04   0.18191370047302E-04   0.95564161719377E-05   
 0.19531250000000E-02   0.18210493448607E-03   0.92126330535349E-05   0.23890836071402E-05   
 0.97656250000000E-03   0.36416488951433E-03   0.48920443666876E-05   0.59727019082794E-06   
