# Error in the maximum norm for problem 3
# N increases by sqrt(2) each step
#
# EPS= 1.0E-02
#
#tau                    uniform                Shishkin               Bakhvalov
 0.50000000000000E+00   0.16880534537574E+00   0.16880529064700E+00   0.16878382815915E+00   
 0.25000000000000E+00   0.38218857607796E-01   0.38218864036908E-01   0.38220216723917E-01   
 0.12500000000000E+00   0.95535088138714E-02   0.95535109878028E-02   0.95550985969177E-02   
 0.62500000000000E-01   0.24051518647847E-02   0.24051541226591E-02   0.24063338866683E-02   
 0.31250000000000E-01   0.60069476213882E-03   0.60069547616672E-03   0.60124971787606E-03   
 0.15625000000000E-01   0.15035712644330E-03   0.15035752811731E-03   0.15064312436241E-03   
 0.78125000000000E-02   0.37598710377144E-04   0.37598852176103E-04   0.37742052237704E-04   
 0.39062500000000E-02   0.94057650481293E-05   0.94057816924594E-05   0.94774618269353E-05   
 0.19531250000000E-02   0.23545706286403E-05   0.23545765090355E-05   0.23905075864985E-05   
 0.97656250000000E-03   0.59021449394538E-06   0.59021657896111E-06   0.60825936552687E-06   
