# Error in the maximum norm for problem 2
# N increases by sqrt(2) each step
#
# EPS= 1.0E+00
#
#tau                    uniform                Shishkin               Bakhvalov
 0.50000000000000E+00   0.71731597149424E-03   0.71709162695103E-03   0.71731597149424E-03   
 0.25000000000000E+00   0.20795289224345E-03   0.20792941433531E-03   0.20795289224345E-03   
 0.12500000000000E+00   0.53773975791985E-04   0.53742504016328E-04   0.53773975791985E-04   
 0.62500000000000E-01   0.13837661931327E-04   0.13811335303693E-04   0.13837661931327E-04   
 0.31250000000000E-01   0.42834893924129E-05   0.43188136094659E-05   0.42834893924129E-05   
 0.15625000000000E-01   0.16531987492252E-05   0.16705261223817E-05   0.16531987492252E-05   
 0.78125000000000E-02   0.80819752089459E-06   0.81426278532714E-06   0.80819752089459E-06   
 0.39062500000000E-02   0.40024339874617E-06   0.40094955603951E-06   0.40024339874617E-06   
 0.19531250000000E-02   0.19922033301925E-06   0.19946839172255E-06   0.19922033301925E-06   
 0.97656250000000E-03   0.99375441344036E-07   0.99462880274254E-07   0.99375441344036E-07   
