1.0E+00
  5.00000000000000E-01  2.12255795578295E-02
  2.50000000000000E-01  3.91855675433045E-03
  1.25000000000000E-01  8.76148490539823E-04
  6.25000000000000E-02  2.16851613511928E-04
  3.12500000000000E-02  5.40669173889883E-05
  1.56250000000000E-02  1.35034616390972E-05
  7.81250000000000E-03  3.37297268384436E-06
  3.90625000000000E-03  8.42028731202202E-07
  1.95312500000000E-03  2.09914394460533E-07
 
1.0E-02
  5.00000000000000E-01  1.68789197240692E-01
  2.50000000000000E-01  3.82187947121692E-02
  1.25000000000000E-01  9.55419914994993E-03
  6.25000000000000E-02  2.40572794966984E-03
  3.12500000000000E-02  6.00965003296757E-04
  1.56250000000000E-02  1.50495851076202E-04
  7.81250000000000E-03  3.76682895655091E-05
  3.90625000000000E-03  9.44057081927884E-06
  1.95312500000000E-03  2.37198469075856E-06
 
1.0E-04
  5.00000000000000E-01  1.71681488336231E-01
  2.50000000000000E-01  3.89147096550406E-02
  1.25000000000000E-01  9.71283685728294E-03
  6.25000000000000E-02  2.44732870456745E-03
  3.12500000000000E-02  6.11038327403437E-04
  1.56250000000000E-02  1.52956869072287E-04
  7.81250000000000E-03  3.82462587557017E-05
  3.90625000000000E-03  9.56634620503578E-06
  1.95312500000000E-03  2.39428877337622E-06
 
1.0E-06
  5.00000000000000E-01  1.71681469297940E-01
  2.50000000000000E-01  3.89145659132243E-02
  1.25000000000000E-01  9.71275420806801E-03
  6.25000000000000E-02  2.44720904904782E-03
  3.12500000000000E-02  6.10974264629309E-04
  1.56250000000000E-02  1.52919242250818E-04
  7.81250000000000E-03  3.82276924001488E-05
  3.90625000000000E-03  9.55792210898689E-06
  1.95312500000000E-03  2.38990541858406E-06
 
1.0E-08
  5.00000000000000E-01  1.71681469389504E-01
  2.50000000000000E-01  3.89145607516753E-02
  1.25000000000000E-01  9.71275373120229E-03
  6.25000000000000E-02  2.44720841242838E-03
  3.12500000000000E-02  6.10968482807830E-04
  1.56250000000000E-02  1.52918031973194E-04
  7.81250000000000E-03  3.82263323565192E-05
  3.90625000000000E-03  9.55640364724033E-06
  1.95312500000000E-03  2.38908432350397E-06
 
1.0E-10
  5.00000000000000E-01  1.71681469282919E-01
  2.50000000000000E-01  3.89145607484108E-02
  1.25000000000000E-01  9.71275284263632E-03
  6.25000000000000E-02  2.44720838819491E-03
  3.12500000000000E-02  6.10968016601377E-04
  1.56250000000000E-02  1.52918012385083E-04
  7.81250000000000E-03  3.82263289973638E-05
  3.90625000000000E-03  9.55638388993474E-06
  1.95312500000000E-03  2.38908371556199E-06
 
1.0E-12
  5.00000000000000E-01  1.71681469282050E-01
  2.50000000000000E-01  3.89145607483922E-02
  1.25000000000000E-01  9.71275283834848E-03
  6.25000000000000E-02  2.44720838807046E-03
  3.12500000000000E-02  6.10968015102416E-04
  1.56250000000000E-02  1.52918012335817E-04
  7.81250000000000E-03  3.82263289963741E-05
