# Error in the maximum norm for problem 2
# N increases by sqrt(2) each step
#
# EPS= 1.0E-10
#
#tau                    uniform                Shishkin               Bakhvalov
 0.50000000000000E+00   0.34341443938670E+00   0.36459785313271E+00   0.36461039386766E+00   
 0.25000000000000E+00   0.98652990763815E-01   0.10324707108476E+00   0.10324576673012E+00   
 0.12500000000000E+00   0.25858336728915E-01   0.26717363146633E-01   0.26722126393053E-01   
 0.62500000000000E-01   0.65836135708727E-02   0.67390318435624E-02   0.67415665707670E-02   
 0.31250000000000E-01   0.16572352655777E-02   0.16887287878469E-02   0.16899937736846E-02   
 0.15625000000000E-01   0.41276055276262E-03   0.42254563533747E-03   0.42311427084978E-03   
 0.78125000000000E-02   0.10393002727500E-03   0.10572068373242E-03   0.10622898148368E-03   
 0.39062500000000E-02   0.26111065598945E-04   0.26467105957375E-04   0.26723097516948E-04   
 0.19531250000000E-02   0.64994767887047E-04   0.66350290504196E-05   0.67152080115345E-05   
 0.97656250000000E-03   0.14152783615998E-03   0.19183417470212E-05   0.17048879836274E-05   
