# Error in the maximum norm for problem 2
# N increases by sqrt(2) each step
#
# EPS= 1.0E-02
#
#tau                    uniform                Shishkin               Bakhvalov
 0.50000000000000E+00   0.66796503689289E-01   0.66751029263319E-01   0.66819322074476E-01   
 0.25000000000000E+00   0.18496495159173E-01   0.18493432983490E-01   0.18505789484944E-01   
 0.12500000000000E+00   0.47576281771777E-02   0.47579239769031E-02   0.47592971653439E-02   
 0.62500000000000E-01   0.11972344528752E-02   0.11972328188638E-02   0.11975795025239E-02   
 0.31250000000000E-01   0.29927113132254E-03   0.29926546357472E-03   0.29942975359900E-03   
 0.15625000000000E-01   0.74554768359241E-04   0.74556545836042E-04   0.74631049932942E-04   
 0.78125000000000E-02   0.18490743471438E-04   0.18491860812460E-04   0.18530544760318E-04   
 0.39062500000000E-02   0.45480291484051E-05   0.45481190810039E-05   0.45694892367451E-05   
 0.19531250000000E-02   0.10995788832074E-05   0.10996143548461E-05   0.11119712078350E-05   
 0.97656250000000E-03   0.25618930398647E-06   0.25620131469275E-06   0.54020552433775E-06   
